created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Sat May 02 14:58:02 +0000 2015,5cdh newrigor,,1,594516199309975552,1,"Wang: appreciating noise for its ""entire sensory quality"" rather than aesthetic or cultural significations. @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:56:38 +0000 2015,newrigor 5cdh,http://twitter.com/jeffreymoro/status/594515846933929984/photo/1,0,594515846933929984,2,"Wang: for his practice, loop pedals take the place of tape loops. @5collDH #newrigor #5cdh http://t.co/YJJnhvY0Ma",jeffreymoro,Jeffrey Moro
Sat May 02 14:56:05 +0000 2015,newrigor,http://twitter.com/jeffreymoro/status/594515708219916288/photo/1,0,594515708219916288,1,"Wang also taking cues from Brian Eno's nontraditional visual scores like for ""Music for Airports"" @5collDH #newrigor http://t.co/YNKdqbwqWX",jeffreymoro,Jeffrey Moro
Sat May 02 14:55:10 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594515479592607746/photo/1,0,594515479592607746,2,Wang takes cues from Steve Reich's tape loops. @5collDH #5cdh #newrigor http://t.co/srCy3u5lfW,jeffreymoro,Jeffrey Moro
Sat May 02 14:54:37 +0000 2015,5cdh newrigor,,0,594515339712581632,2,"Next up Andrew Wang with ""Converging Loops:Using Digital Technology to Generate Dense Sound From Spare Materials."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:53:22 +0000 2015,5cdh newrigor,,2,594515026343534592,1,"Cade Johnson's ""Haraway's Basement"" follows the cyborg into darker territory  @5collDH #5cdh #newrigor",Yael_Rice,Yael Rice
Sat May 02 14:52:13 +0000 2015,5cdh newrigor cadejohnson,,1,594514738278719489,1,"Johnson: ""The basement - here are the memories that don't quite fit and were probably never meant to.""  #5cdh #newrigor #cadejohnson",sheishistoric,Emily Esten
Sat May 02 14:52:01 +0000 2015,5cdh newrigor,,0,594514687384899586,1,Johnson's final project takes the form of a @twinethreads game. @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
Sat May 02 14:51:34 +0000 2015,newrigor 5cdh,http://twitter.com/jeffreymoro/status/594514574247895040/photo/1,1,594514574247895040,2,"Johnson: ""To follow the cyborg into the garish and disgusting."" @5collDH #newrigor #5cdh http://t.co/znUgSS54P3",jeffreymoro,Jeffrey Moro
Sat May 02 14:48:22 +0000 2015,5cdh newrigor,,1,594513767284768768,1,"Johnson: ""Queerness in women [in media] is inextricably tied to madness."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:45:32 +0000 2015,5cdh newrigor,,0,594513054483795969,2,Johnson: How will Twitter or Tumblr exist in a queer future? @5collDH #5cdh #newrigor,jeffreymoro,Jeffrey Moro
Sat May 02 14:44:19 +0000 2015,5cdh newrigor,,0,594512749520134144,1,"Johnson's project: to write the ""haunted historiography"" of queer media experiences. #5cdh #newrigor @5collDH",jeffreymoro,Jeffrey Moro
Sat May 02 14:42:09 +0000 2015,5cdh newrigor,,0,594512204579381248,2,"Johnson: ""A Google search for 'lesbian' opens into a near-labyrinth of possibility."" @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:40:42 +0000 2015,newrigor 5cdh,,1,594511840593469440,1,"Next up, Cade Johnson from @smithcollege with ""haraway's basement"" on the strange life of queer horror cinema @5collDH #newrigor #5cdh",jeffreymoro,Jeffrey Moro
Sat May 02 14:38:39 +0000 2015,newrigor 5cdh,,0,594511321699328000,2,"Pardo: ""Collaboration is absolutely key."" @5collDH #newrigor #5cdh",jeffreymoro,Jeffrey Moro
Sat May 02 14:36:49 +0000 2015,5cdh newrigor,,2,594510859809984512,1,"I love Pardo's project b/c of its elegant blend of scholarship, art, and activism. #5cdh #newrigor @5collDH",jeffreymoro,Jeffrey Moro
Sat May 02 14:36:01 +0000 2015,5cdh newrigor,http://twitter.com/jeffreymoro/status/594510658839937024/video/1,0,594510658839937024,1,Pardo's game in practice @5collDH #5cdh #newrigor http://t.co/nCT0onBJ1c,jeffreymoro,Jeffrey Moro
Sat May 02 14:33:18 +0000 2015,5cdh newrigor,,1,594509976481222657,2,"""Can a virtual reality game help people unlearn problematic behavior?"" Pardo's project reminds me of @criticalplay @5collDH #5cdh #newrigor",jeffreymoro,Jeffrey Moro
Sat May 02 14:32:43 +0000 2015,coralieprado 5cdh newrigor,,1,594509830078988289,1,Interesting breakdown of game developer/player objectives #coralieprado #5cdh #newrigor,sheishistoric,Emily Esten
Sat May 02 14:30:11 +0000 2015,NewRigor,http://twitter.com/5collDH/status/594509193891213313/photo/1,0,594509193891213313,0,.@AmherstCollege senior Craig Campbell presenting his digital humanities project at the @5collDh #NewRigor symposium http://t.co/QEDDJQoas7,5collDH,Five College DH
Sat May 02 14:30:08 +0000 2015,newrigor 5cdh,http://twitter.com/jeffreymoro/status/594509180939194369/photo/1,0,594509180939194369,3,Pardo's project directly in response to recent police and civilian killing of Black lives. @5collDH #newrigor #5cdh http://t.co/uJoQpq1B4i,jeffreymoro,Jeffrey Moro
Sat May 02 14:25:11 +0000 2015,5cDH NewRigor,,0,594507932697526272,2,"Campbell's work: ""Building an interface that coproduces *with* the images on display."" #5cDH #NewRigor @5collDH",jeffreymoro,Jeffrey Moro
Sat May 02 14:22:52 +0000 2015,dh newrigor 5cdh,,1,594507351362838530,1,(Smashing the window then becomes a potent metaphor for the work of #dh) @5collDH #newrigor #5cdh,jeffreymoro,Jeffrey Moro
Sat May 02 14:22:13 +0000 2015,5cDH NewRigor,,0,594507186459561984,1,Campbell making a conceptual link between the computer screen and microscope through the idea of a window. #5cDH #NewRigor @5collDH,jeffreymoro,Jeffrey Moro
Sat May 02 14:20:47 +0000 2015,5cdh newrigor,,0,594506825724203008,1,"Campbell ""Cyberspace is a space because we call the Internet a space where things happen."" #5cdh #newrigor @5collDH",jeffreymoro,Jeffrey Moro
Sat May 02 14:20:26 +0000 2015,Scalar 5cDH NewRigor,,0,594506739107667969,1,Campbell’s  @5colldh project uses #Scalar in its consideration of the movement of body and mind in cyberspace. #5cDH #NewRigor,5collDH,Five College DH
